Date,Value
2017-12-27,64.24
2017-12-26,63.07
2017-12-22,62.66
2017-12-21,62.66
2017-12-20,62.16
2017-12-19,61.72
2017-12-18,61.64
2017-12-15,61.48
2017-12-14,60.87
2017-12-13,61.5
2017-12-12,62.75
2017-12-11,61.94
2017-12-08,61.03
2017-12-07,60.12
2017-12-06,60.73
2017-12-05,60.87
2017-12-04,61.45
2017-12-01,61.71
2017-11-30,61.06
2017-11-29,61.14
2017-11-28,61.31
2017-11-27,61.51
2017-11-24,61.64
2017-11-23,61.14
2017-11-22,61.09
2017-11-21,60.49
2017-11-20,60.33
2017-11-17,59.9
2017-11-16,59.98
2017-11-15,59.79
2017-11-14,60.52
2017-11-13,61.27
2017-11-10,61.91
2017-11-09,61.7
2017-11-08,61.61
2017-11-07,62.07
2017-11-06,61.02
2017-11-03,59.12
2017-11-02,58.45
2017-11-01,59.21
2017-10-31,58.53
2017-10-30,58.27
2017-10-27,57.55
2017-10-26,56.45
2017-10-25,56.33
2017-10-24,55.59
2017-10-23,55.77
2017-10-20,55.41
2017-10-19,55.52
2017-10-18,56.12
2017-10-17,55.83
2017-10-16,55.74
2017-10-13,55.12
2017-10-12,54.44
2017-10-11,54.54
2017-10-10,54.23
2017-10-09,53.7
2017-10-06,54.47
2017-10-05,54.62
2017-10-04,53.93
2017-10-03,54.28
2017-10-02,54.6
2017-09-29,55.2
2017-09-28,55.59
2017-09-27,56.07
2017-09-26,56.43
2017-09-25,55.62
2017-09-22,54.84
2017-09-21,54.59
2017-09-20,54.06
2017-09-19,53.81
2017-09-18,53.78
2017-09-15,53.64
2017-09-14,53.63
2017-09-13,52.92
2017-09-12,52.08
2017-09-11,51.82
2017-09-08,52.53
2017-09-07,52.48
2017-09-06,52.04
2017-09-05,50.99
2017-09-04,50.36
2017-09-01,49.68
2017-08-31,49.36
2017-08-30,49.41
2017-08-29,49.51
2017-08-28,49.86
2017-08-25,49.93
2017-08-24,49.76
2017-08-23,49.49
2017-08-22,49.5
2017-08-21,49.8
2017-08-18,48.86
2017-08-17,48.07
2017-08-16,48.69
2017-08-15,48.45
2017-08-14,49.46
2017-08-11,49.37
2017-08-10,50.7
2017-08-09,50.48
2017-08-08,50.5
2017-08-07,50.06
2017-08-04,49.96
2017-08-03,50.26
2017-08-02,49.75
2017-08-01,49.61
2017-07-31,49.97
2017-07-28,49.46
2017-07-27,48.88
2017-07-26,48.51
2017-07-25,47.11
2017-07-24,46.01
2017-07-21,46.99
2017-07-20,47.48
2017-07-19,46.85
2017-07-18,46.45
2017-07-17,46.8
2017-07-14,46.4
2017-07-13,45.66
2017-07-12,46.02
2017-07-11,44.79
2017-07-10,44.77
2017-07-07,45.11
2017-07-06,46.52
2017-07-05,47.04
2017-07-04,47.57
2017-07-03,47.17
2017-06-30,45.63
2017-06-29,45.36
2017-06-28,44.48
2017-06-27,44.23
2017-06-26,43.14
2017-06-23,43.02
2017-06-22,42.58
2017-06-21,43.14
2017-06-20,43.9
2017-06-19,44.46
2017-06-16,44.58
2017-06-15,44.38
2017-06-14,45.16
2017-06-13,46.01
2017-06-12,45.94
2017-06-09,45.49
2017-06-08,45.78
2017-06-07,46.78
2017-06-06,46.98
2017-06-05,47.37
2017-06-02,47.33
2017-06-01,48.85
2017-05-31,48.69
2017-05-30,49.39
2017-05-29,49.67
2017-05-26,49.48
2017-05-25,51.24
2017-05-24,51.96
2017-05-23,51.34
2017-05-22,51.54
2017-05-19,50.91
2017-05-18,49.91
2017-05-17,49.48
2017-05-16,49.75
2017-05-15,49.77
2017-05-12,48.31
2017-05-11,48.41
2017-05-10,47.35
2017-05-09,46.88
2017-05-08,46.91
2017-05-05,46.6
2017-05-04,47.49
2017-05-03,48.38
2017-05-02,49.02
2017-05-01,49.19
2017-04-28,49.33
2017-04-27,48.9
2017-04-26,49.65
2017-04-25,49.22
2017-04-24,49.66
2017-04-21,50.01
2017-04-20,50.49
2017-04-19,51.9
2017-04-18,52.3
2017-04-17,52.96
2017-04-13,53.38
2017-04-12,53.69
2017-04-11,53.37
2017-04-10,53.14
2017-04-07,52.92
2017-04-06,51.84
2017-04-05,51.96
2017-04-04,50.6
2017-04-03,50.69
2017-03-31,50.43
2017-03-30,50.2
2017-03-29,49.54
2017-03-28,48.84
2017-03-27,48.25
2017-03-24,48.26
2017-03-23,48.35
2017-03-22,48.28
2017-03-21,49.23
2017-03-20,49.18
2017-03-17,49.36
2017-03-16,49.7
2017-03-15,49.17
2017-03-14,48.63
2017-03-13,49.0
2017-03-10,49.81
2017-03-09,50.82
2017-03-08,52.69
2017-03-07,53.54
2017-03-06,53.13
2017-03-03,53.01
2017-03-02,53.74
2017-03-01,54.15
2017-02-28,53.4
2017-02-27,53.85
2017-02-24,53.61
2017-02-23,53.95
2017-02-22,53.48
2017-02-21,53.88
2017-02-20,53.49
2017-02-17,53.11
2017-02-16,53.14
2017-02-15,53.1
2017-02-14,53.31
2017-02-13,53.47
2017-02-10,53.23
2017-02-09,52.76
2017-02-08,52.13
2017-02-07,52.78
2017-02-06,53.77
2017-02-03,54.24
2017-02-02,53.93
2017-02-01,52.76
2017-01-31,52.19
2017-01-30,52.78
2017-01-27,52.88
2017-01-26,52.91
2017-01-25,52.14
2017-01-24,52.51
2017-01-23,52.1
2017-01-20,51.8
2017-01-19,51.45
2017-01-18,52.22
2017-01-17,52.6
2017-01-16,52.17
2017-01-13,52.64
2017-01-12,52.3
2017-01-11,50.98
2017-01-10,51.46
2017-01-09,52.85
2017-01-06,53.5
2017-01-05,53.02
2017-01-04,52.71
2017-01-03,53.13
2016-12-30,53.3
2016-12-29,53.46
2016-12-28,53.39
2016-12-27,52.25
2016-12-23,51.74
2016-12-22,51.73
2016-12-21,52.25
2016-12-20,51.99
2016-12-19,52.18
2016-12-16,51.29
2016-12-15,50.96
2016-12-14,51.83
2016-12-13,52.39
2016-12-12,53.24
2016-12-09,50.95
2016-12-08,50.04
2016-12-07,50.22
2016-12-06,50.98
2016-12-05,51.25
2016-12-02,50.42
2016-12-01,49.28
2016-11-30,44.8
2016-11-29,43.87
2016-11-28,43.84
2016-11-25,44.88
2016-11-24,45.22
2016-11-23,45.37
2016-11-22,45.25
2016-11-21,44.34
2016-11-18,42.33
2016-11-17,42.83
2016-11-16,42.9
2016-11-15,41.84
2016-11-14,40.94
2016-11-11,41.54
2016-11-10,42.67
2016-11-09,41.9
2016-11-08,42.22
2016-11-07,41.98
2016-11-04,41.85
2016-11-03,42.62
2016-11-02,43.1
2016-11-01,44.51
2016-10-31,45.83
2016-10-28,47.04
2016-10-27,47.23
2016-10-26,46.96
2016-10-25,47.83
2016-10-24,48.15
2016-10-21,48.08
2016-10-20,48.51
2016-10-19,49.06
2016-10-18,48.24
2016-10-17,48.22
2016-10-14,48.63
2016-10-13,48.07
2016-10-12,48.68
2016-10-11,48.81
2016-10-10,48.31
2016-10-07,48.59
2016-10-06,47.86
2016-10-05,47.75
2016-10-04,46.72
2016-10-03,46.65
2016-09-30,44.63
2016-09-29,44.34
2016-09-28,42.21
2016-09-27,42.3
2016-09-26,42.16
2016-09-23,42.89
2016-09-22,43.27
2016-09-21,42.54
2016-09-20,41.55
2016-09-19,42.09
2016-09-16,41.74
2016-09-15,41.67
2016-09-14,42.56
2016-09-13,42.91
2016-09-12,44.53
2016-09-09,44.55
2016-09-08,44.61
2016-09-07,43.18
2016-09-06,42.75
2016-09-05,43.54
2016-09-02,41.47
2016-09-01,42.0
2016-08-31,43.91
2016-08-30,45.25
2016-08-29,45.44
2016-08-26,45.75
2016-08-25,45.28
2016-08-24,45.25
2016-08-23,45.34
2016-08-22,46.04
2016-08-19,46.82
2016-08-18,46.5
2016-08-17,45.34
2016-08-16,45.03
2016-08-15,43.92
2016-08-12,42.6
2016-08-11,40.62
2016-08-10,40.57
2016-08-09,41.08
2016-08-08,41.1
2016-08-05,40.08
2016-08-04,39.6
2016-08-03,38.43
2016-08-02,38.29
2016-08-01,39.1
2016-07-29,38.97
2016-07-28,39.79
2016-07-27,40.49
2016-07-26,40.62
2016-07-25,41.35
2016-07-22,41.71
2016-07-21,42.93
2016-07-20,42.73
2016-07-19,42.66
2016-07-18,43.36
2016-07-15,43.24
2016-07-14,42.88
2016-07-13,43.19
2016-07-12,43.22
2016-07-11,42.21
2016-07-08,42.59
2016-07-07,44.19
2016-07-06,44.35
2016-07-05,44.34
2016-07-04,46.08
2016-07-01,45.42
2016-06-30,46.27
2016-06-29,45.82
2016-06-28,44.46
2016-06-27,44.32
2016-06-24,44.88
2016-06-23,46.16
2016-06-22,46.46
2016-06-21,46.02
2016-06-20,46.24
2016-06-17,44.18
2016-06-16,44.03
2016-06-15,45.36
2016-06-14,45.64
2016-06-13,46.25
2016-06-10,47.05
2016-06-09,48.02
2016-06-08,47.76
2016-06-07,46.63
2016-06-06,46.1
2016-06-03,45.82
2016-06-02,45.67
2016-06-01,45.28
2016-05-31,45.15
2016-05-30,44.8
2016-05-27,44.76
2016-05-26,45.43
2016-05-25,44.97
2016-05-24,44.02
2016-05-23,44.07
2016-05-20,44.77
2016-05-19,43.84
2016-05-18,44.88
2016-05-17,44.82
2016-05-16,44.37
2016-05-13,43.3
2016-05-12,43.33
2016-05-11,41.43
2016-05-10,40.23
2016-05-09,40.77
2016-05-06,40.57
2016-05-05,41.16
2016-05-04,40.45
2016-05-03,41.03
2016-05-02,42.48
2016-04-29,42.7
2016-04-28,42.02
2016-04-27,41.38
2016-04-26,39.88
2016-04-25,39.4
2016-04-22,39.78
2016-04-21,40.09
2016-04-20,38.46
2016-04-19,38.27
2016-04-18,36.58
2016-04-15,38.05
2016-04-14,38.58
2016-04-13,38.91
2016-04-12,38.62
2016-04-11,37.02
2016-04-08,36.01
2016-04-07,34.71
2016-04-06,33.93
